k1,b,map_v1,map_v2
0.8,0.2,0.30507845947253587,0.3043643157827763
0.8,0.4,0.3068295851567413,0.305549537753354
0.8,0.6,0.30151882752232084,0.30018956946140685
0.8,0.75,0.2965015320176054,0.29520693560528627
0.8,0.9,0.29064580822395714,0.2893584304901959
1.0,0.2,0.2997456944965804,0.29900481581140925
1.0,0.4,0.30168828439436385,0.30049375012369783
1.0,0.6,0.2959647720167656,0.29468138820826695
1.0,0.75,0.2923911992774784,0.2911095634536588
1.0,0.9,0.2842833922549447,0.282943796037616
1.2,0.2,0.2962755579371468,0.29550069699352194
1.2,0.4,0.2973396023643981,0.29613895287992126
1.2,0.6,0.2930291188664065,0.2917239504213873
1.2,0.75,0.28865757167727585,0.28737781084135683
1.2,0.9,0.2781723526355923,0.27686431622666313
1.5,0.2,0.2881898732737355,0.2874178192605242
1.5,0.4,0.2900325369200252,0.2888263398154142
1.5,0.6,0.28664388709099,0.28532372755978785
1.5,0.75,0.27992747484028263,0.27868940397098474
1.5,0.9,0.2694657911239318,0.2681913828922614
1.8,0.2,0.2810095372752972,0.2802103133178689
1.8,0.4,0.28452703059650114,0.28329629089158403
1.8,0.6,0.28148802960642827,0.2802111630132173
1.8,0.75,0.2746302893472917,0.2734050413461479
1.8,0.9,0.2621319208333897,0.2609084177852561
2.0,0.2,0.27688197937412373,0.27607049149292673
2.0,0.4,0.2808228010763547,0.2796112461272704
2.0,0.6,0.2769782938923858,0.27572554117009385
2.0,0.75,0.27096168548464944,0.26976920258067094
2.0,0.9,0.25745517654245687,0.25627066452682706
